id,nombre,categoria,precio,stock,created_at,updated_at,is_deleted
1,Laptop Pro 15,Electronica,225.53,0,2024-12-07T09:01:00,2025-01-08T12:01:00,true
2,Laptop Ultrabook 13,Electronica,390.46,0,2024-10-20T09:37:00,2024-10-20T09:37:00,true
3,Tablet 10 pulgadas,Electronica,853.81,112,2024-09-29T08:35:00,2024-09-29T08:35:00,false
4,Smartphone X12,Electronica,563.15,79,2024-08-31T12:51:00,2024-12-07T14:51:00,false
5,Smartwatch Serie 3,Electronica,1283.43,0,2024-05-04T13:06:00,2024-05-04T13:06:00,true
6,Smart TV 50 pulgadas,Electronica,257.24,472,2024-11-19T12:51:00,2024-11-19T12:51:00,false
7,Smart TV 43 pulgadas,Electronica,1337.33,185,2024-07-26T09:35:00,2024-07-26T09:35:00,false
8,Monitor 24 FHD,Electronica,1177.75,40,2024-11-05T11:45:00,2024-11-05T11:45:00,false
9,Monitor 27 QHD,Electronica,598.05,189,2024-05-13T09:24:00,2024-05-13T09:24:00,false
10,Proyector HD,Electronica,1000.2,311,2024-07-14T11:42:00,2024-07-14T11:42:00,false
11,Camara Digital,Electronica,1485.11,327,2024-12-05T10:34:00,2024-12-26T17:34:00,false
12,Camara de Accion,Electronica,125.57,161,2025-01-01T16:14:00,2025-04-19T16:14:00,false
13,Drone Mini,Electronica,1324.43,161,2024-08-07T12:04:00,2024-08-07T12:04:00,false
14,Consola Gaming,Electronica,278.27,0,2024-05-02T15:25:00,2024-07-24T22:25:00,true
15,Controlador Gaming,Electronica,1496.19,70,2024-10-28T16:16:00,2024-12-22T22:16:00,false
16,Servidor Rack 1U,Electronica,307.16,348,2024-10-01T15:05:00,2025-01-20T16:05:00,false
17,NAS 4 Bahias,Electronica,831.33,497,2024-08-18T09:24:00,2024-08-18T09:24:00,false
18,UPS 1500VA,Electronica,1171.4,174,2024-10-24T08:43:00,2025-01-20T16:43:00,false
19,Lector Codigo Barras,Electronica,1105.36,0,2024-03-12T12:27:00,2024-03-12T12:27:00,true
20,Scanner de Documentos,Electronica,1316.13,152,2024-05-28T16:48:00,2024-05-28T16:48:00,false
21,Teclado Mecanico RGB,Perifericos,40.68,488,2024-12-07T16:38:00,2024-12-07T16:38:00,false
22,Teclado Inalambrico,Perifericos,186.52,0,2024-10-12T08:38:00,2024-10-12T08:38:00,true
23,Mouse Ergonomico,Perifericos,24.95,374,2024-06-20T11:03:00,2024-06-20T11:03:00,false
24,Mouse Gaming,Perifericos,135.34,0,2024-09-19T09:48:00,2024-09-19T09:48:00,true
25,Touchpad Externo,Perifericos,193.22,475,2024-10-22T10:16:00,2024-10-22T10:16:00,false
26,Webcam 4K,Perifericos,133.47,224,2024-10-17T11:45:00,2024-10-17T11:45:00,false
27,Webcam HD 1080p,Perifericos,13.99,0,2024-10-05T15:07:00,2024-10-05T15:07:00,true
28,Joystick Pro,Perifericos,129.9,0,2024-10-24T11:37:00,2024-10-24T11:37:00,true
29,Stylus Pen,Perifericos,107.68,142,2024-05-11T09:57:00,2024-05-11T09:57:00,false
30,Tableta Grafica,Perifericos,177.64,295,2024-12-22T15:13:00,2024-12-22T15:13:00,false
31,Numpad Externo,Perifericos,27.91,337,2024-09-13T11:50:00,2024-09-13T11:50:00,false
32,Lector de Huella,Perifericos,20.28,334,2024-08-22T13:27:00,2024-08-22T13:27:00,false
33,Microfono USB,Perifericos,173.71,127,2024-12-10T09:03:00,2024-12-10T09:03:00,false
34,Auriculares 7.1,Perifericos,62.91,127,2024-04-22T11:34:00,2024-04-22T11:34:00,false
35,Auriculares Bluetooth,Perifericos,199.85,0,2024-02-22T15:51:00,2024-05-03T16:51:00,true
36,Bocinas 2.1,Perifericos,101.45,442,2024-01-22T09:59:00,2024-02-22T11:59:00,false
37,Bocina Portatil,Perifericos,60.38,401,2024-08-07T08:10:00,2024-08-07T08:10:00,false
38,Auriculares In-Ear,Perifericos,102.46,97,2024-09-03T12:27:00,2024-12-06T20:27:00,false
39,Headset Gaming,Perifericos,152.11,29,2024-06-14T11:03:00,2024-06-14T11:03:00,false
40,Pad Mouse XL,Perifericos,106.48,0,2024-02-09T15:32:00,2024-04-17T17:32:00,true
41,Cable USB-C 1m,Cables,22.27,482,2024-04-19T09:38:00,2024-04-19T09:38:00,false
42,Cable USB-C 2m,Cables,22.99,298,2024-11-01T11:37:00,2024-11-01T11:37:00,false
43,Cable HDMI 2.0 1.8m,Cables,21.9,343,2024-10-30T16:20:00,2024-11-26T21:20:00,false
44,Cable HDMI 4K 3m,Cables,6.87,234,2024-12-10T12:29:00,2024-12-10T12:29:00,false
45,Cable DisplayPort 2m,Cables,9.66,178,2024-11-28T09:04:00,2024-11-28T09:04:00,false
46,Cable Ethernet Cat6 3m,Cables,28.75,154,2024-02-19T11:23:00,2024-02-19T11:23:00,false
47,Cable Ethernet Cat6 5m,Cables,8.32,449,2024-11-23T16:00:00,2025-02-02T20:00:00,false
48,Cable Ethernet Cat7 10m,Cables,16.6,107,2024-03-23T12:07:00,2024-06-27T20:07:00,false
49,Cable AUX 3.5mm,Cables,45.59,433,2024-07-08T11:43:00,2024-08-11T19:43:00,false
50,Cable VGA 1.8m,Cables,3.66,394,2024-02-10T09:40:00,2024-02-10T09:40:00,false
51,Adaptador USB-C a HDMI,Cables,8.7,483,2024-03-21T12:10:00,2024-05-31T18:10:00,false
52,Adaptador USB-C a VGA,Cables,29.19,220,2025-01-02T10:34:00,2025-01-02T10:34:00,false
53,Adaptador USB-C a USB-A,Cables,48.7,20,2024-03-20T08:19:00,2024-03-20T08:19:00,false
54,Adaptador HDMI a VGA,Cables,39.77,0,2024-07-16T11:43:00,2024-07-16T11:43:00,true
55,Alargador USB 3.0 1m,Cables,41.19,451,2024-08-10T10:59:00,2024-11-29T12:59:00,false
56,Cable Thunderbolt 3,Cables,43.67,415,2024-08-13T08:11:00,2024-09-25T14:11:00,false
57,Cable Coaxial 10m,Cables,43.42,113,2024-05-21T12:10:00,2024-06-04T18:10:00,false
58,Cable DVI 1.8m,Cables,14.08,12,2024-04-26T15:22:00,2024-04-26T15:22:00,false
59,Cable SPDIF Optico,Cables,48.45,142,2024-12-17T11:25:00,2024-12-17T11:25:00,false
60,Cable Micro-USB 1m,Cables,4.78,449,2024-07-12T16:25:00,2024-10-29T00:25:00,false
61,Funda Laptop 15 pulgadas,Accesorios,41.93,0,2024-05-27T10:37:00,2024-06-30T10:37:00,true
62,Funda Laptop 13 pulgadas,Accesorios,21.15,22,2024-06-23T14:38:00,2024-07-08T20:38:00,false
63,Mochila Tech 15 pulgadas,Accesorios,63.38,481,2025-01-11T14:00:00,2025-01-11T14:00:00,false
64,Maletin Ejecutivo,Accesorios,83.26,319,2024-12-23T11:23:00,2024-12-23T11:23:00,false
65,Soporte Laptop,Accesorios,32.72,356,2024-06-23T09:46:00,2024-08-27T13:46:00,false
